id,name,email,phone,social,address,created_by,preferred_communication,priority,status,team,is_client,description
1,Gustav Longstaff,glongstaff0@noaa.gov,3234881571,https://drupal.org/eget/tempus/vel/pede/morbi.aspx,1697 Bultman Court,3,mail,medium,new,marketing,FALSE,Ut at dolor quis odio consequat varius.
2,Benedick Ishchenko,bishchenko1@desdev.cn,2003856246,https://spotify.com/id.jsp,72785 Mariners Cove Circle,2,phone,low,lost,marketing,TRUE,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
3,Leanor Alexandrou,lalexandrou2@blog.com,9498670182,https://smugmug.com/ut/massa.js,96476 Starling Circle,4,social_media,medium,contacted,support,TRUE,Sed ante. Vivamus tortor.
4,Gonzales Gillings,ggillings3@furl.net,2586347256,https://imageshack.us/elit/sodales/scelerisque/mauris/sit.png,5 Anniversary Drive,1,social_media,high,new,marketing,FALSE,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
5,Patrizia Bunworth,pbunworth4@nationalgeographic.com,4199016269,http://aol.com/augue/vestibulum/ante/ipsum/primis.png,61 Bluestem Trail,2,social_media,high,lost,support,FALSE,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
6,Alex Routhorn,arouthorn5@dropbox.com,2573577610,http://newsvine.com/donec/odio/justo/sollicitudin/ut.json,747 Carey Point,7,mail,high,new,support,FALSE,Pellentesque ultrices mattis odio. Donec vitae nisi.
7,Vito Blacklidge,vblacklidge6@omniture.com,4082063368,https://marketwatch.com/potenti/nullam/porttitor/lacus/at/turpis/donec.jsp,05 Holmberg Terrace,2,phone,high,new,sales,TRUE,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
8,Gabriella Lomis,glomis7@prlog.org,8193168907,https://about.me/odio/elementum/eu/interdum.aspx,020 Montana Place,9,email,medium,new,support,FALSE,Ut tellus. Nulla ut erat id mauris vulputate elementum.
9,Niles Pughe,npughe8@apache.org,4542248320,http://infoseek.co.jp/amet/erat/nulla/tempus.jsp,7 Washington Terrace,7,social_media,low,new,support,TRUE,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
10,Oswell Chaston,ochaston9@wikia.com,1654408376,http://a8.net/vulputate/elementum/nullam/varius.aspx,69737 Fremont Crossing,3,social_media,low,contacted,support,FALSE,
11,Lexie Kenewell,lkenewella@privacy.gov.au,3955665946,http://paginegialle.it/leo/pellentesque/ultrices/mattis.html,94013 Waywood Avenue,10,phone,medium,won,support,FALSE,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
12,Hersh Whitten,hwhittenb@indiatimes.com,6141145196,http://nature.com/at/feugiat/non/pretium/quis/lectus.png,35 Anderson Way,1,phone,high,contacted,marketing,FALSE,
13,Kathye Fogel,kfogelc@printfriendly.com,2713645630,https://oracle.com/semper/porta.html,30 Melby Drive,4,phone,high,contacted,marketing,TRUE,Donec dapibus.
14,Bennett McAloren,bmcalorend@taobao.com,9796851946,https://businesswire.com/hac/habitasse/platea/dictumst/aliquam/augue/quam.aspx,3 Walton Pass,1,social_media,medium,contacted,support,FALSE,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
15,Yancy Larratt,ylarratte@mtv.com,4097409803,http://typepad.com/id/justo/sit/amet/sapien/dignissim/vestibulum.png,0 Graedel Court,9,email,medium,won,sales,FALSE,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
16,Kaspar Valasek,kvalasekf@purevolume.com,6784293456,https://elpais.com/amet/eleifend.json,94582 Glendale Lane,8,social_media,low,new,support,TRUE,Donec posuere metus vitae ipsum.
17,Joby Keming,jkemingg@utexas.edu,7592675327,http://toplist.cz/enim/lorem/ipsum/dolor/sit.jpg,92 Hollow Ridge Road,2,phone,medium,lost,sales,FALSE,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
18,Kizzee Hatfield,khatfieldh@sphinn.com,8318855617,https://51.la/iaculis.aspx,019 Scott Trail,3,phone,high,contacted,marketing,FALSE,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
19,Dulcea Bonnell,dbonnelli@blogger.com,1782445433,https://patch.com/volutpat/eleifend/donec/ut.jsp,379 South Place,6,phone,low,won,sales,TRUE,
20,Brina Bazoche,bbazochej@youku.com,1899554022,http://taobao.com/consequat/nulla/nisl/nunc/nisl/duis/bibendum.js,598 Aberg Avenue,2,social_media,low,lost,support,FALSE,Quisque porta volutpat erat.
21,Willette Cardon,wcardonk@soup.io,7922966212,http://bizjournals.com/vulputate/nonummy.jsp,43093 Monument Alley,10,email,high,won,sales,FALSE,
22,Scottie Chetwin,schetwinl@fc2.com,6175787965,http://blogger.com/urna/pretium/nisl/ut/volutpat/sapien.json,49465 Eagan Pass,3,email,high,new,support,TRUE,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.
23,Marlow Cunniam,mcunniamm@virginia.edu,1227528061,https://seesaa.net/nec/condimentum/neque/sapien/placerat/ante.jsp,83930 Algoma Court,8,phone,medium,new,marketing,TRUE,Quisque id justo sit amet sapien dignissim vestibulum.
24,Yancey Rodd,yroddn@mail.ru,9565589493,http://fc2.com/proin/eu.aspx,7186 Park Meadow Point,6,phone,medium,lost,marketing,FALSE,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
