id,name,email,phone,social,address,created_by,priority,status,preferred_communication,is_client
1,Ruy Klaesson,rklaesson0@spiegel.de,1754815744,http://goodreads.com/nulla/eget/eros/elementum/pellentesque/quisque/porta.aspx,27529 Golf Course Drive,2,low,new,mail,false
2,Normy Coomer,ncoomer1@creativecommons.org,6352540227,https://over-blog.com/magna/vulputate/luctus/cum/sociis/natoque.json,8 Debra Terrace,7,medium,won,mail,false
3,Marybeth Labusch,mlabusch2@mlb.com,7334906691,http://japanpost.jp/venenatis/turpis/enim/blandit.aspx,142 Eggendart Center,6,medium,new,phone,true
4,Marcille McNirlin,mmcnirlin3@uiuc.edu,2614875206,https://patch.com/est/quam/pharetra/magna/ac.jsp,32 Maple Drive,6,low,contacted,mail,true
5,Norbert Cragg,ncragg4@skype.com,1228665649,https://blog.com/cum/sociis.aspx,533 Riverside Plaza,3,high,contacted,social_media,true
6,Hamlin Kieff,hkieff5@constantcontact.com,3719395000,https://devhub.com/nulla/sed/vel.png,74602 Morrow Terrace,8,medium,lost,social_media,false
7,Marice Kaye,mkaye6@example.com,3773062880,https://umich.edu/magnis/dis/parturient/montes.jpg,55150 Holmberg Terrace,7,low,contacted,social_media,false
8,Natala Yurchenko,nyurchenko7@delicious.com,2763819518,http://ihg.com/massa/tempor/convallis/nulla/neque.js,923 Donald Pass,4,high,contacted,phone,true
9,Hamel Boch,hboch8@usa.gov,1022656528,https://hhs.gov/pede/morbi/porttitor/lorem/id/ligula/suspendisse.png,32 Briar Crest Plaza,10,high,contacted,email,false
10,Britt Camacke,bcamacke9@theatlantic.com,7536518794,http://dagondesign.com/at.xml,911 Main Point,6,high,lost,social_media,true
11,Jori Tattershall,jtattershalla@surveymonkey.com,5845081357,http://soup.io/odio.jpg,45090 Menomonie Pass,7,medium,contacted,phone,false
12,Ardath Lambe,alambeb@nytimes.com,6359542829,https://facebook.com/mollis/molestie/lorem/quisque.html,69 Anzinger Hill,7,medium,contacted,email,false
13,Evangelina Manna,emannac@spiegel.de,2504400122,http://merriam-webster.com/dui/nec.json,314 Onsgard Alley,2,medium,new,email,true
14,Corine Remon,cremond@sakura.ne.jp,5639202000,http://rediff.com/magna.jsp,42847 Welch Drive,4,medium,lost,email,true
15,Selie Labrenz,slabrenze@last.fm,8573728889,http://hao123.com/pede/malesuada/in/imperdiet/et/commodo.png,73 Mallory Plaza,1,medium,contacted,social_media,true
16,Gothart Rechert,grechertf@fastcompany.com,6093836433,http://hibu.com/hac/habitasse/platea/dictumst/etiam.html,129 Saint Paul Center,1,high,won,phone,true
17,Cindra Goddard,cgoddardg@tamu.edu,1836381646,https://amazonaws.com/nam/congue/risus/semper/porta/volutpat/quam.html,68 Basil Court,10,high,lost,mail,true
18,Rosalinde Markussen,rmarkussenh@upenn.edu,6805463326,http://networksolutions.com/odio/donec.png,1422 Kensington Hill,4,low,lost,email,true
19,Elfie Lorden,elordeni@cnbc.com,7759041503,http://cafepress.com/nisl/venenatis.jsp,34 Calypso Pass,1,high,won,mail,true
20,Geoffrey Lawrey,glawreyj@ameblo.jp,1526274007,http://loc.gov/vestibulum.jpg,2472 Loftsgordon Way,7,high,contacted,email,false
21,Daile Archard,darchardk@geocities.com,9116687888,https://businessweek.com/molestie/lorem/quisque.json,1463 Anhalt Road,8,medium,lost,email,false
22,Ainslee Gwioneth,agwionethl@illinois.edu,6115871908,https://constantcontact.com/ante.js,8943 Hauk Terrace,6,low,lost,social_media,false
23,Noell Vousden,nvousdenm@1und1.de,3556060249,https://gnu.org/eu/nibh.jsp,29 Transport Road,7,medium,new,mail,true
