id,email,password,username,first_name,last_name,role,team,date_joined
1,shaime0@soundcloud.com,aX6/o%f`,shaime0,Skipp,Haime,Sales,Sales,2022-12-01 07:54:12
2,rjanauschek1@theguardian.com,fR7}%AcI&/M9,rjanauschek1,Roseanna,Janauschek,Sales,Sales,2018-10-25 19:08:30
3,jbewshire2@gov.uk,jM6}sD8<,jbewshire2,Jasmin,Bewshire,Marketing,Sales,2020-08-08 16:33:53
4,abortolotti3@godaddy.com,oO4#Pf?=,abortolotti3,Anallise,Bortolotti,Sales,Marketing,2021-06-23 03:36:01
5,apadbury4@twitpic.com,"lV7(nBV~,(=",apadbury4,Alikee,Padbury,Marketing,Sales,2017-09-01 23:21:08
6,lcorner5@jigsy.com,fW9/ZTY4ZyEn,lcorner5,Lane,Corner,Sales,Support,2021-11-27 21:50:16
7,vaizik6@intel.com,vC2`f@9mjc+,vaizik6,Verge,Aizik,Marketing,Sales,2019-12-05 04:14:40
8,rirnis7@unc.edu,qO2|L/i#,rirnis7,Ronda,Irnis,Manager,Sales,2020-08-31 14:58:43
9,lelvish8@vinaora.com,"iZ2,T!2*QRrhQ",lelvish8,Lutero,Elvish,Marketing,Support,2022-08-09 15:25:17
10,fmcmichan9@ezinearticles.com,zE4!8A0tQ<'ov$l,fmcmichan9,Freddy,McMichan,Lead,Sales,2018-06-22 18:21:08
